lat,lon,country,state,elevation,region,is_near_boundary
-1.677083333333334,-80.60375,Ecuador,Manabí,570.0,Manabí,True
-1.6779166666666674,-78.87041666666667,Ecuador,Bolívar,4313.0,Bolívar,True
-1.6787500000000009,-78.80375,Ecuador,Chimborazo,3711.0,Chimborazo,True
-1.6804166666666678,-80.33708333333334,Ecuador,Manabí,269.0,Manabí,True
-1.6812500000000004,-80.27041666666666,Ecuador,Manabí,236.0,Manabí,True
-1.6820833333333338,-80.20375,Ecuador,Guayas,173.0,Guayas,True
-1.6829166666666673,-78.47041666666667,Ecuador,Chimborazo,4079.0,Chimborazo,True
-1.6837500000000007,-78.40375,Ecuador,Morona Santiago,4718.0,Morona Santiago,True
-1.6845833333333342,-78.33708333333334,Ecuador,Morona Santiago,3569.0,Morona Santiago,True
-1.6862500000000011,-79.87041666666667,Ecuador,Guayas,8.0,Guayas,True
-1.6870833333333337,-79.80375,Ecuador,Los Ríos,8.0,Los Ríos,True
-1.6879166666666672,-79.73708333333333,Ecuador,Los Ríos,6.0,Los Ríos,True
-1.6879166666666672,-78.07041666666666,Ecuador,Morona Santiago,923.0,Morona Santiago,True
-1.6887500000000006,-78.00375,Ecuador,Morona Santiago,882.0,Morona Santiago,True
-1.689583333333334,-77.93708333333333,Ecuador,Morona Santiago,873.0,Morona Santiago,True
-1.6904166666666676,-77.87041666666667,Ecuador,Pastaza,858.0,Pastaza,True
-1.6937500000000005,-79.27041666666666,Ecuador,Los Ríos,165.0,Los Ríos,True
-1.694583333333334,-79.20375,Ecuador,Bolívar,1608.0,Bolívar,True
-1.6954166666666675,-80.80375,Ecuador,Manabí,122.0,Manabí,True
-1.696250000000001,-80.73708333333333,Ecuador,Santa Elena,148.0,Santa Elena,True
-1.696250000000001,-75.73708333333333,Ecuador,Pastaza,215.0,Pastaza,True
-1.6970833333333344,-80.67041666666667,Ecuador,Santa Elena,325.0,Santa Elena,True
-1.6970833333333344,-75.67041666666667,Perú,Loreto,214.0,Perú,True
-1.6979166666666679,-80.60375,Ecuador,Manabí,464.0,Manabí,True
-1.6979166666666679,-78.93708333333333,Ecuador,Bolívar,3485.0,Bolívar,True
-1.6987500000000004,-78.87041666666667,Ecuador,Bolívar,4115.0,Bolívar,True
-1.699583333333334,-78.80375,Ecuador,Chimborazo,3604.0,Chimborazo,True
-1.7004166666666674,-80.40375,Ecuador,Manabí,237.0,Manabí,True
-1.7012500000000008,-80.33708333333334,Ecuador,Manabí,301.0,Manabí,True
-1.7020833333333343,-80.27041666666666,Ecuador,Guayas,80.0,Guayas,True
-1.7029166666666677,-80.20375,Ecuador,Guayas,98.0,Guayas,True
-1.7037500000000003,-78.47041666666667,Ecuador,Chimborazo,3721.0,Chimborazo,True
-1.7045833333333338,-78.40375,Ecuador,Morona Santiago,4189.0,Morona Santiago,True
-1.7070833333333342,-79.87041666666667,Ecuador,Guayas,3.0,Guayas,True
-1.7079166666666676,-79.80375,Ecuador,Guayas,7.0,Guayas,True
-1.708750000000001,-79.73708333333333,Ecuador,Los Ríos,7.0,Los Ríos,True
-1.7095833333333337,-78.00375,Ecuador,Morona Santiago,892.0,Morona Santiago,True
-1.7104166666666671,-77.93708333333333,Ecuador,Morona Santiago,890.0,Morona Santiago,True
-1.7112500000000006,-77.87041666666667,Ecuador,Pastaza,827.0,Pastaza,True
-1.7145833333333345,-79.27041666666666,Ecuador,Los Ríos,135.0,Los Ríos,True
-1.715416666666667,-79.20375,Ecuador,Bolívar,1342.0,Bolívar,True
-1.7162500000000005,-80.80375,Ecuador,Santa Elena,0.0,Santa Elena,True
-1.717083333333334,-80.73708333333333,Ecuador,Santa Elena,147.0,Santa Elena,True
-1.717083333333334,-75.73708333333333,Ecuador,Pastaza,212.0,Pastaza,True
-1.7179166666666674,-80.67041666666667,Ecuador,Santa Elena,276.0,Santa Elena,True
-1.7179166666666674,-79.00375,Ecuador,Bolívar,2609.0,Bolívar,True
-1.7187500000000009,-80.60375,Ecuador,Manabí,498.0,Manabí,True
-1.7187500000000009,-78.93708333333333,Ecuador,Bolívar,3927.0,Bolívar,True
-1.7195833333333344,-80.53708333333333,Ecuador,Manabí,532.0,Manabí,True
-1.7195833333333344,-78.87041666666667,Ecuador,Chimborazo,4249.0,Chimborazo,True
-1.7204166666666678,-78.80375,Ecuador,Chimborazo,3339.0,Chimborazo,True
-1.7212500000000004,-80.40375,Ecuador,Manabí,201.0,Manabí,True
-1.7220833333333339,-80.33708333333334,Ecuador,Guayas,325.0,Guayas,True
-1.7229166666666673,-80.27041666666666,Ecuador,Guayas,143.0,Guayas,True
-1.7245833333333342,-78.47041666666667,Ecuador,Chimborazo,3725.0,Chimborazo,True
-1.7254166666666677,-78.40375,Ecuador,Morona Santiago,4099.0,Morona Santiago,True
-1.7287500000000007,-79.80375,Ecuador,Guayas,13.0,Guayas,True
-1.7295833333333341,-79.73708333333333,Ecuador,Los Ríos,3.0,Los Ríos,True
-1.7304166666666676,-78.00375,Ecuador,Morona Santiago,919.0,Morona Santiago,True
-1.731250000000001,-77.93708333333333,Ecuador,Morona Santiago,904.0,Morona Santiago,True
-1.7320833333333336,-77.87041666666667,Ecuador,Pastaza,821.0,Pastaza,True
-1.7354166666666675,-79.27041666666666,Ecuador,Los Ríos,79.0,Los Ríos,True
-1.736250000000001,-79.20375,Ecuador,Bolívar,1421.0,Bolívar,True
-1.7370833333333344,-80.80375,Ecuador,Santa Elena,0.0,Santa Elena,True
-1.7370833333333344,-75.80375,Ecuador,Pastaza,221.0,Pastaza,True
-1.737916666666667,-80.73708333333333,Ecuador,Santa Elena,167.0,Santa Elena,True
-1.737916666666667,-75.73708333333333,Ecuador,Pastaza,228.0,Pastaza,True
-1.7387500000000005,-80.67041666666667,Ecuador,Santa Elena,349.0,Santa Elena,True
-1.7387500000000005,-79.00375,Ecuador,Bolívar,2521.0,Bolívar,True
